vocab_size,model_name,text_column,ngram,vectorizer,splitting_criterion,tree_max_depth,tree_max_features,accuracy
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)",CountVectorizer,gini,30,,0.644
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)",CountVectorizer,gini,30,,0.644
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",CountVectorizer,gini,30,,0.64
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",TfidfVectorizer,gini,30,,0.638
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",CountVectorizer,gini,30,,0.638
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",CountVectorizer,gini,30,,0.637
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",CountVectorizer,gini,30,,0.635
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)",CountVectorizer,gini,30,,0.634
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",TfidfVectorizer,gini,30,,0.633
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",CountVectorizer,gini,30,,0.632
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",CountVectorizer,gini,30,,0.63
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",TfidfVectorizer,gini,30,,0.629
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)",CountVectorizer,gini,30,,0.628
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",CountVectorizer,gini,30,,0.628
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)",CountVectorizer,gini,30,,0.628
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)",CountVectorizer,gini,30,,0.627
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)",CountVectorizer,gini,30,,0.626
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)",TfidfVectorizer,gini,30,,0.626
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)",TfidfVectorizer,gini,30,,0.625
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)",TfidfVectorizer,gini,30,,0.625
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)",CountVectorizer,gini,30,,0.624
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",CountVectorizer,gini,30,,0.624
1000,DecisionTreeClassifier(),text_no_sw,"(1, 3)",CountVectorizer,gini,30,,0.623
1000,DecisionTreeClassifier(),text_no_sw,"(1, 1)",CountVectorizer,gini,30,,0.623
100,DecisionTreeClassifier(),text_lemmatized,"(1, 3)",CountVectorizer,gini,30,sqrt,0.622
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)",TfidfVectorizer,gini,30,,0.622
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)",CountVectorizer,gini,30,,0.622
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)",CountVectorizer,gini,30,,0.621
1000,DecisionTreeClassifier(),text_no_sw,"(1, 2)",TfidfVectorizer,gini,30,,0.62
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",TfidfVectorizer,gini,30,,0.62
10000,DecisionTreeClassifier(),text_no_sw,"(1, 2)",CountVectorizer,gini,30,,0.62
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",CountVectorizer,gini,30,,0.619
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",TfidfVectorizer,gini,30,,0.618
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)",TfidfVectorizer,gini,30,,0.617
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",TfidfVectorizer,gini,30,,0.617
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)",TfidfVectorizer,gini,30,,0.615
1000,DecisionTreeClassifier(),text_no_sw,"(1, 3)",TfidfVectorizer,gini,30,,0.614
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)",TfidfVectorizer,gini,30,log2,0.614
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 3)",TfidfVectorizer,gini,30,,0.613
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 2)",TfidfVectorizer,gini,30,,0.613
1000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",TfidfVectorizer,gini,30,,0.613
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)",TfidfVectorizer,gini,30,,0.611
10000,DecisionTreeClassifier(),text_no_sw,"(1, 1)",TfidfVectorizer,gini,30,,0.61
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",CountVectorizer,gini,30,log2,0.61
100,DecisionTreeClassifier(),text_lemmatized,"(1, 2)",CountVectorizer,gini,30,sqrt,0.61
100,DecisionTreeClassifier(),text_no_sw,"(1, 1)",CountVectorizer,gini,30,,0.609
1000,DecisionTreeClassifier(),text_no_sw,"(1, 1)",TfidfVectorizer,gini,30,,0.607
100,DecisionTreeClassifier(),text_lemmatized,"(1, 2)",TfidfVectorizer,gini,30,,0.607
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)",TfidfVectorizer,gini,30,,0.606
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)",TfidfVectorizer,gini,30,,0.605
100,DecisionTreeClassifier(),text_lemmatized,"(1, 3)",TfidfVectorizer,gini,30,,0.605
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",TfidfVectorizer,gini,30,,0.604
100,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",TfidfVectorizer,gini,30,,0.603
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",TfidfVectorizer,gini,30,sqrt,0.603
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",CountVectorizer,gini,30,sqrt,0.601
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 2)",TfidfVectorizer,gini,30,,0.6
100,DecisionTreeClassifier(),text_no_sw,"(1, 3)",CountVectorizer,gini,30,,0.6
100,DecisionTreeClassifier(),text_no_sw,"(1, 3)",TfidfVectorizer,gini,30,,0.599
100,DecisionTreeClassifier(),text_no_sw,"(1, 1)",TfidfVectorizer,gini,30,,0.598
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 1)",TfidfVectorizer,gini,30,,0.593
100,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",CountVectorizer,gini,30,sqrt,0.593
1000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)",CountVectorizer,gini,10,,0.591
100,DecisionTreeClassifier(),text_no_sw,"(1, 2)",TfidfVectorizer,gini,30,sqrt,0.591
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 3)",CountVectorizer,gini,10,,0.59
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",CountVectorizer,gini,30,sqrt,0.589
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",CountVectorizer,gini,10,,0.588
100,DecisionTreeClassifier(),text_no_sw,"(1, 2)",CountVectorizer,gini,30,sqrt,0.587
100,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",TfidfVectorizer,gini,30,sqrt,0.587
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",TfidfVectorizer,gini,30,sqrt,0.585
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)",CountVectorizer,gini,10,,0.585
100,DecisionTreeClassifier(),text_porter_stemmed,"(1, 2)",CountVectorizer,gini,10,,0.585
10000,DecisionTreeClassifier(),text_no_sw,"(1, 1)",CountVectorizer,gini,10,,0.581
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 1)",CountVectorizer,gini,10,,0.581
100,DecisionTreeClassifier(),text_no_numerals,"(1, 2)",TfidfVectorizer,gini,10,,0.581
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",TfidfVectorizer,gini,10,,0.58
10000,DecisionTreeClassifier(),text_no_sw,"(1, 2)",TfidfVectorizer,gini,10,,0.58
100,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",CountVectorizer,gini,30,,0.58
100,DecisionTreeClassifier(),text_no_numerals,"(1, 3)",CountVectorizer,gini,10,,0.578
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 3)",TfidfVectorizer,gini,10,,0.577
10000,DecisionTreeClassifier(),text_no_numerals,"(1, 1)",CountVectorizer,gini,30,sqrt,0.576
100,DecisionTreeClassifier(),text_no_numerals,"(1, 2)",CountVectorizer,gini,10,,0.575
10000,DecisionTreeClassifier(),text_lemmatized,"(1, 1)",TfidfVectorizer,gini,10,,0.574
100,DecisionTreeClassifier(),text_no_numerals,"(1, 3)",TfidfVectorizer,gini,10,,0.573
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",TfidfVectorizer,gini,30,sqrt,0.571
10000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",TfidfVectorizer,gini,30,sqrt,0.568
10000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",CountVectorizer,gini,30,,0.565
1000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",CountVectorizer,gini,30,,0.564
100,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",TfidfVectorizer,gini,30,,0.557
10000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",TfidfVectorizer,gini,30,,0.556
1000,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",TfidfVectorizer,gini,30,,0.556
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(1, 2)",TfidfVectorizer,gini,5,,0.555
1000,DecisionTreeClassifier(),text_porter_stemmed,"(1, 3)",CountVectorizer,gini,5,,0.554
100,DecisionTreeClassifier(),text_no_numerals,"(2, 2)",CountVectorizer,gini,30,sqrt,0.547
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",TfidfVectorizer,gini,30,sqrt,0.545
100,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",CountVectorizer,gini,30,,0.542
100,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",CountVectorizer,gini,30,,0.542
1000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",TfidfVectorizer,gini,30,,0.541
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.541
100,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",TfidfVectorizer,gini,30,log2,0.541
100,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.54
1000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",CountVectorizer,gini,30,,0.54
10000,DecisionTreeClassifier(),text_no_sw,"(1, 3)",TfidfVectorizer,gini,5,,0.54
10000,DecisionTreeClassifier(),text_no_sw,"(1, 3)",CountVectorizer,gini,5,,0.539
1000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",CountVectorizer,gini,30,sqrt,0.538
1000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",CountVectorizer,gini,30,,0.538
1000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.537
10000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",CountVectorizer,gini,10,,0.537
10000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",CountVectorizer,gini,30,,0.537
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",TfidfVectorizer,gini,30,,0.536
10000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",TfidfVectorizer,gini,30,,0.536
1000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",TfidfVectorizer,gini,30,,0.535
100,DecisionTreeClassifier(),text_no_sw,"(2, 2)",TfidfVectorizer,gini,30,log2,0.534
100,DecisionTreeClassifier(),text_no_sw,"(2, 2)",CountVectorizer,gini,30,,0.533
100,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",CountVectorizer,gini,30,sqrt,0.531
10000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",CountVectorizer,gini,10,,0.53
10000,DecisionTreeClassifier(),text_lancaster_stemmed,"(2, 2)",CountVectorizer,gini,30,sqrt,0.529
10000,DecisionTreeClassifier(),text_no_sw,"(2, 2)",TfidfVectorizer,gini,10,,0.527
1000,DecisionTreeClassifier(),text_lemmatized,"(2, 2)",CountVectorizer,gini,30,sqrt,0.525
1000,DecisionTreeClassifier(),text_no_sw,"(1, 2)",CountVectorizer,gini,30,log2,0.524
10000,DecisionTreeClassifier(),text_porter_stemmed,"(2, 2)",TfidfVectorizer,gini,30,log2,0.518
